red_area,blue_area,coloc_area,manders_m1,manders_m2,overlap_coefficient,red_mean_intensity,blue_mean_intensity,coloc_mean_red_intensity,coloc_mean_blue_intensity,image_idx
19355,0,0,0.0,0.0,0.0,4.873159390338414,0.0,0.0,0.0,24
66338,45750,0,0.0,0.0,0.0,8.287949591486026,0.9027978142076503,0.0,0.0,25
56096,26316,12484,0.1884662376018548,0.50944,0.17852648438393776,3.706039646320593,0.8312433500531996,3.138497276513938,0.8926626081384171,26
14778,54793,1009,0.06956340655161798,0.06566522796238008,0.014716606866777514,7.473677087562593,0.9683171208001022,7.614469772051536,3.4529236868186324,27
101631,11071,10836,0.09048302062335246,0.9798700607093407,0.10637504172147723,2.5382019265775204,0.8480715382530937,2.1540236249538576,0.8490217792543374,28
102809,18976,18031,0.15026184142281115,0.9533213644524237,0.1737860708984714,2.325438434378313,0.8218802698145026,1.9923465143364205,0.8245798901891187,29
262018,5497,5497,0.03663932147893519,1.0,0.02097947469257837,1.4966414521139768,0.840094597052938,2.6137893396398035,0.840094597052938,30
32236,11034,5640,0.18258747874094713,0.5368264520643807,0.14988041456284878,6.000961657773917,1.0360703280768533,6.262588652482269,1.0881205673758865,31
161891,0,0,0.0,0.0,0.0,1.1862981882871808,0.0,0.0,0.0,32
75342,0,0,0.0,0.0,0.0,1.5039951156061693,0.0,0.0,0.0,33
51830,0,0,0.0,0.0,0.0,10.619448196025468,0.0,0.0,0.0,34
44948,193,193,0.004491239083473348,1.0,0.0042938506718875145,4.819880751090149,1.0932642487046633,5.041450777202073,1.0932642487046633,35
14069,924,221,0.012712398424100954,0.20521541950113378,0.01496073652856756,12.971710853649869,0.9545454545454546,10.497737556561086,0.8190045248868778,36
42992,0,0,0.0,0.0,0.0,5.937267398585783,0.0,0.0,0.0,37
252731,0,0,0.0,0.0,0.0,1.2962715298083733,0.0,0.0,0.0,38
13572,8242,5905,0.506355568279416,0.7722648752399233,0.37117354956314036,5.147362216327734,1.264256248483378,5.99051651143099,1.3627434377646062,39
43737,33497,0,0.0,0.0,0.0,10.37044150261792,0.8272084067229901,0.0,0.0,40
157663,13510,13510,0.09489923944709436,1.0,0.08568909636376322,2.370924059544725,0.8091783863804589,2.625758697261288,0.8091783863804589,41
16865,19504,194,0.009181192191441492,0.009865527208747015,0.0053628196268140985,5.21826267417729,0.815935192780968,4.164948453608248,0.8092783505154639,42
50728,0,0,0.0,0.0,0.0,5.771388582242548,0.0,0.0,0.0,43
225659,0,0,0.0,0.0,0.0,1.1774535914809514,0.0,0.0,0.0,44
82388,0,0,0.0,0.0,0.0,2.974146720396174,0.0,0.0,0.0,45
85656,0,0,0.0,0.0,0.0,6.468385168581302,0.0,0.0,0.0,46
29058,429,427,0.011542749093372091,0.9955654101995566,0.014693737095664143,2.4388120311101935,1.0512820512820513,1.9156908665105385,1.0515222482435598,47
27371,592,592,0.017264892508760298,1.0,0.021628731138796535,3.8577326367323077,0.8226351351351351,3.079391891891892,0.8226351351351351,48
